trade_date,开盘,close,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-06-15,4228.29,4278.22,4348.42,4228.29,257046589,459766820864.0,2.85,1.32,55.91,0.79
2022-06-16,4282.08,4250.06,4302.92,4241.08,184074417,337235910656.0,1.45,-0.66,-28.16,0.56
2022-06-17,4219.23,4309.04,4318.77,4218.68,158649098,346675728384.0,2.36,1.39,58.98,0.49
2022-06-20,4322.83,4330.43,4368.36,4297.89,165666383,359569297408.0,1.64,0.5,21.39,0.51
2022-06-21,4327.92,4325.57,4357.34,4287.14,164667615,317163319296.0,1.62,-0.11,-4.86,0.5
2022-06-22,4331.9,4270.62,4333.18,4269.25,158565855,298656264192.0,1.48,-1.27,-54.95,0.49
2022-06-23,4277.96,4343.88,4343.88,4260.9,170882360,327144779776.0,1.94,1.72,73.26,0.52
2022-06-24,4354.55,4394.77,4400.69,4346.12,168972198,356054749184.0,1.26,1.17,50.89,0.52
2022-06-27,4414.33,4444.26,4472.69,4414.33,177385677,381432967168.0,1.33,1.13,49.49,0.54
2022-06-28,4442.58,4490.52,4497.89,4407.35,174756490,361685970944.0,2.04,1.04,46.26,0.54
2022-06-29,4472.73,4421.36,4503.13,4414.0,187276687,395926106112.0,1.98,-1.54,-69.16,0.57
2022-06-30,4418.07,4485.01,4515.0,4418.07,156666289,354343886848.0,2.19,1.44,63.65,0.48
2022-07-01,4489.52,4466.72,4500.99,4449.29,144779599,318492131328.0,1.15,-0.41,-18.29,0.44
2022-07-04,4447.22,4496.03,4496.03,4427.82,146345651,356968521728.0,1.53,0.66,29.31,0.45
2022-07-05,4505.46,4489.54,4530.32,4439.45,154962414,361891852288.0,2.02,-0.14,-6.49,0.47
2022-07-06,4475.48,4423.97,4484.36,4393.42,149800236,344672706560.0,2.03,-1.46,-65.57,0.46
2022-07-07,4425.28,4443.47,4457.34,4391.19,132660905,328133132288.0,1.5,0.44,19.5,0.41
2022-07-08,4468.06,4428.78,4479.49,4426.89,123195740,304031109120.0,1.18,-0.33,-14.69,0.38
2022-07-11,4406.15,4354.62,4406.15,4330.58,134448579,299195232256.0,1.71,-1.67,-74.16,0.41
2022-07-12,4352.65,4313.62,4370.34,4296.62,130187837,291072311296.0,1.69,-0.94,-41.0,0.4
2022-07-13,4313.36,4321.46,4341.47,4284.94,131113180,286075543552.0,1.31,0.18,7.84,0.4
2022-07-14,4308.82,4322.07,4352.1,4292.76,145250926,301569859584.0,1.37,0.01,0.61,0.44
2022-07-15,4299.47,4248.53,4344.86,4248.53,150214453,316793192669.9,2.23,-1.7,-73.54,0.46
2022-07-18,4262.15,4292.59,4300.78,4217.51,122601192,281055128639.5,1.96,1.04,44.06,0.38
2022-07-19,4288.44,4269.34,4288.44,4238.82,103805730,231117731807.1,1.16,-0.54,-23.25,0.32
2022-07-20,4291.28,4283.8,4303.37,4269.97,94490144,212301881407.6,0.78,0.34,14.46,0.29
2022-07-21,4270.36,4236.06,4283.15,4236.05,117156344,239228146811.6,1.1,-1.11,-47.74,0.36
2022-07-22,4251.79,4238.23,4275.47,4207.31,103840624,224295333457.3,1.61,0.05,2.17,0.32
2022-07-25,4233.93,4212.64,4234.84,4201.92,83636664,188136426672.8,0.78,-0.6,-25.59,0.26
2022-07-26,4220.09,4245.98,4259.99,4214.53,85823274,197601406373.7,1.08,0.79,33.34,0.26
2022-07-27,4236.15,4225.04,4242.1,4217.28,78904940,194245303807.2,0.58,-0.49,-20.94,0.24
2022-07-28,4242.27,4225.67,4267.92,4223.03,107531930,243871486471.5,1.06,0.01,0.63,0.33
2022-07-29,4226.42,4170.1,4243.51,4160.87,114179286,253198574647.5,1.96,-1.32,-55.57,0.35
2022-08-01,4160.65,4188.68,4196.57,4129.45,107749029,251125308597.5,1.61,0.45,18.58,0.33
2022-08-02,4144.38,4107.02,4144.38,4071.43,142224425,281013555279.9,1.74,-1.95,-81.66,0.44
2022-08-03,4114.83,4066.98,4150.98,4058.18,116666124,268695834765.4,2.26,-0.97,-40.04,0.36
2022-08-04,4089.44,4101.54,4108.16,4064.66,89532644,216898674902.2,1.07,0.85,34.56,0.27
2022-08-05,4109.63,4156.91,4159.49,4097.86,102571004,247325902015.1,1.5,1.35,55.37,0.31
2022-08-08,4142.11,4148.07,4155.73,4135.08,90208138,224080812054.7,0.5,-0.21,-8.84,0.28
2022-08-09,4143.67,4156.29,4161.81,4131.43,84136959,214223692260.1,0.73,0.2,8.22,0.26
2022-08-10,4149.21,4109.74,4160.79,4092.55,85565839,217447368470.0,1.64,-1.12,-46.55,0.26
2022-08-11,4130.74,4193.54,4193.81,4116.06,121385051,269630998406.8,1.89,2.04,83.8,0.37
2022-08-12,4185.42,4191.15,4202.47,4175.05,106808295,219208055254.9,0.65,-0.06,-2.39,0.33
2022-08-15,4180.0,4185.68,4219.92,4174.3,105898495,245539800985.4,1.09,-0.13,-5.47,0.32
2022-08-16,4190.53,4177.84,4208.8,4170.52,93906139,233818584731.5,0.91,-0.19,-7.84,0.29
2022-08-17,4182.57,4216.96,4222.79,4155.17,112864659,252044325051.7,1.62,0.94,39.12,0.35
2022-08-18,4205.79,4180.1,4211.91,4173.54,101052650,233115491389.8,0.91,-0.87,-36.86,0.31
2022-08-19,4174.55,4151.07,4185.66,4151.07,117402978,262494128152.3,0.83,-0.69,-29.03,0.36
2022-08-22,4135.16,4181.4,4183.65,4134.2,112442720,259747163698.2,1.19,0.73,30.33,0.34
2022-08-23,4175.53,4161.08,4187.39,4147.41,103153512,239101330833.1,0.96,-0.49,-20.32,0.32
2022-08-24,4168.58,4082.42,4174.16,4079.09,119069679,262844309316.1,2.28,-1.89,-78.66,0.36
2022-08-25,4093.29,4116.24,4119.62,4058.75,111320745,242149581477.5,1.49,0.83,33.82,0.34
2022-08-26,4127.81,4107.55,4139.79,4102.68,99000493,225519196800.4,0.9,-0.21,-8.69,0.3
2022-08-29,4063.88,4089.52,4092.95,4059.6,94354432,203086114712.3,0.81,-0.44,-18.03,0.29
2022-08-30,4088.53,4075.79,4093.14,4048.52,93301662,192649001277.8,1.09,-0.34,-13.73,0.29
2022-08-31,4057.14,4078.84,4112.85,4046.62,132449765,292974665546.2,1.62,0.07,3.05,0.41
2022-09-01,4066.19,4043.74,4090.89,4041.13,97387071,210898503453.9,1.22,-0.86,-35.1,0.3
2022-09-02,4054.84,4023.61,4056.18,4004.91,86789278,184468327005.7,1.27,-0.5,-20.13,0.27
2022-09-05,4010.41,4015.43,4017.0,3982.74,93767109,201118696559.4,0.85,-0.2,-8.18,0.29
2022-09-06,4024.47,4052.28,4054.0,4009.58,113506265,235921838118.4,1.11,0.92,36.85,0.35
2022-09-07,4032.72,4054.98,4067.54,4028.37,107678059,215147152182.0,0.97,0.07,2.7,0.33
2022-09-08,4059.17,4037.68,4067.76,4036.02,100886049,186889047980.8,0.78,-0.43,-17.3,0.31
2022-09-09,4050.59,4093.79,4099.01,4042.25,118427114,221442547204.1,1.41,1.39,56.11,0.36
2022-09-13,4112.01,4111.11,4128.11,4097.14,111789737,218521062135.8,0.76,0.42,17.32,0.34
2022-09-14,4058.04,4065.36,4089.06,4047.92,90793681,185484965110.5,1.0,-1.11,-45.75,0.28
